event,map,match_id,team,opponent,agents,agents_count,observed
americas_stage_1,BIND,americas_stage_1_bind_envy_leviat_n,ENVY,LEVIATÁN,"brimstone,chamber,neon,skye,viper",5,True
americas_stage_1,BIND,americas_stage_1_bind_g2_esports_leviat_n,G2 Esports,LEVIATÁN,"brimstone,fade,raze,viper,vyse",5,True
americas_stage_1,BIND,americas_stage_1_bind_envy_leviat_n,LEVIATÁN,ENVY,"brimstone,neon,phoenix,skye,viper",5,True
americas_stage_1,BIND,americas_stage_1_bind_g2_esports_leviat_n,LEVIATÁN,G2 Esports,"brimstone,neon,phoenix,skye,viper",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,"harbor,jett,kayo,sova,viper",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,ENVY,LOUD,"harbor,iso,neon,sova,viper",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,"harbor,kayo,neon,sova,viper",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,G2 Esports,LEVIATÁN,"astra,harbor,neon,sova,vyse",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,KRÜ Esports,Sentinels,"chamber,neon,omen,sova,viper",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,LEVIATÁN,G2 Esports,"chamber,neon,omen,sova,viper",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,LOUD,ENVY,"astra,harbor,jett,kayo,sova",5,True
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,Sentinels,KRÜ Esports,"harbor,iso,neon,sova,viper",5,True
americas_stage_1,FRACTURE,americas_stage_1_fracture_envy_leviat_n,ENVY,LEVIATÁN,"breach,brimstone,neon,skye,veto",5,True
americas_stage_1,FRACTURE,americas_stage_1_fracture_envy_leviat_n,LEVIATÁN,ENVY,"breach,brimstone,neon,tejo,waylay",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,"cypher,neon,omen,phoenix,sova",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,100 Thieves,Sentinels,"cypher,neon,omen,phoenix,sova",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,Cloud9,ENVY,"killjoy,neon,omen,sova,viper",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,Cloud9,LEVIATÁN,"killjoy,neon,omen,sova,viper",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,ENVY,Cloud9,"astra,chamber,neon,phoenix,sova",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,"killjoy,neon,omen,sova,viper",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,Evil Geniuses,FURIA,"killjoy,neon,omen,sova,viper",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,FURIA,Evil Geniuses,"killjoy,neon,omen,sova,viper",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,FURIA,KRÜ Esports,"cypher,neon,omen,phoenix,sova",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,G2 Esports,LOUD,"astra,chamber,fade,neon,phoenix",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,KRÜ Esports,FURIA,"cypher,fade,neon,omen,phoenix",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,LEVIATÁN,Cloud9,"astra,chamber,neon,phoenix,sova",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,LOUD,G2 Esports,"neon,omen,sova,viper,vyse",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,LOUD,MIBR,"neon,omen,sova,viper,vyse",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,MIBR,LOUD,"fade,jett,omen,phoenix,vyse",5,True
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,Sentinels,100 Thieves,"killjoy,neon,omen,sova,viper",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,ENVY,LOUD,"fade,neon,omen,veto,viper",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_evil_geniuses_furia,Evil Geniuses,FURIA,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_evil_geniuses_furia,FURIA,Evil Geniuses,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_furia_kr_esports,FURIA,KRÜ Esports,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_g2_esports_mibr,G2 Esports,MIBR,"fade,harbor,neon,omen,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_furia_kr_esports,KRÜ Esports,FURIA,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_kr_esports_nrg,KRÜ Esports,NRG,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_kr_esports_sentinels,KRÜ Esports,Sentinels,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,LOUD,ENVY,"fade,omen,raze,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_g2_esports_mibr,MIBR,G2 Esports,"fade,neon,omen,raze,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_kr_esports_nrg,NRG,KRÜ Esports,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,LOTUS,americas_stage_1_lotus_kr_esports_sentinels,Sentinels,KRÜ Esports,"fade,omen,raze,veto,viper",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_100_thieves_nrg,100 Thieves,NRG,"astra,chamber,fade,neon,phoenix",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_envy,Cloud9,ENVY,"astra,neon,skye,tejo,vyse",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_leviat_n,Cloud9,LEVIATÁN,"astra,chamber,neon,skye,tejo",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_envy,ENVY,Cloud9,"astra,chamber,neon,phoenix,sova",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,ENVY,LOUD,"astra,sova,tejo,veto,waylay",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_evil_geniuses_furia,Evil Geniuses,FURIA,"astra,killjoy,neon,sova,waylay",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_evil_geniuses_furia,FURIA,Evil Geniuses,"astra,fade,killjoy,neon,phoenix",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_furia_nrg,FURIA,NRG,"astra,fade,killjoy,neon,phoenix",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_g2_esports_loud,G2 Esports,LOUD,"astra,harbor,neon,sova,vyse",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_leviat_n,LEVIATÁN,Cloud9,"astra,chamber,neon,phoenix,sova",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,LOUD,ENVY,"astra,chamber,kayo,neon,sova",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_g2_esports_loud,LOUD,G2 Esports,"astra,chamber,kayo,neon,sova",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_100_thieves_nrg,NRG,100 Thieves,"astra,killjoy,neon,sova,tejo",5,True
americas_stage_1,PEARL,americas_stage_1_pearl_furia_nrg,NRG,FURIA,"astra,killjoy,sova,tejo,waylay",5,True
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,100 Thieves,Sentinels,"fade,omen,raze,sage,viper",5,True
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,Cloud9,ENVY,"neon,omen,skye,viper,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,ENVY,Cloud9,"jett,omen,raze,skye,viper",5,True
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,FURIA,NRG,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,G2 Esports,LEVIATÁN,"astra,fade,harbor,raze,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,G2 Esports,MIBR,"astra,fade,harbor,neon,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,KRÜ Esports,NRG,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,LEVIATÁN,G2 Esports,"fade,neon,omen,phoenix,viper",5,True
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,LOUD,MIBR,"cypher,neon,omen,skye,viper",5,True
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,MIBR,G2 Esports,"astra,fade,neon,raze,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,MIBR,LOUD,"astra,fade,neon,raze,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,NRG,FURIA,"deadlock,omen,raze,skye,viper",5,True
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,NRG,KRÜ Esports,"fade,neon,omen,viper,vyse",5,True
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,Sentinels,100 Thieves,"neon,omen,sage,skye,viper",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_bilibili_gaming,All Gamers,Bilibili Gaming,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_titan_esports_club,All Gamers,Titan Esports Club,"brimstone,gekko,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_tyloo,All Gamers,TYLOO,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_xi_lai_gaming,All Gamers,Xi Lai Gaming,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_bilibili_gaming,Bilibili Gaming,All Gamers,"brimstone,fade,kayo,raze,viper",5,True
china_stage_1,BIND,china_stage_1_bind_bilibili_gaming_tyloo,Bilibili Gaming,TYLOO,"astra,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_dragon_ranger_gaming_trace_esports,Dragon Ranger Gaming,Trace Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_dragon_ranger_gaming_xi_lai_gaming,Dragon Ranger Gaming,Xi Lai Gaming,"brimstone,miks,neon,skye,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_edward_gaming_jdg_esports,EDward Gaming,JDG Esports,"brimstone,gekko,kayo,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_funplus_phoenix_tyloo,FunPlus Phoenix,TYLOO,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_edward_gaming_jdg_esports,JDG Esports,EDward Gaming,"brimstone,neon,omen,skye,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_jdg_esports_tyloo,JDG Esports,TYLOO,"brimstone,neon,omen,skye,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_nova_esports_xi_lai_gaming,Nova Esports,Xi Lai Gaming,"brimstone,chamber,neon,skye,viper",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_tyloo,TYLOO,All Gamers,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_bilibili_gaming_tyloo,TYLOO,Bilibili Gaming,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_funplus_phoenix_tyloo,TYLOO,FunPlus Phoenix,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_jdg_esports_tyloo,TYLOO,JDG Esports,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_titan_esports_club,Titan Esports Club,All Gamers,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_dragon_ranger_gaming_trace_esports,Trace Esports,Dragon Ranger Gaming,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_trace_esports_wolves_esports,Trace Esports,Wolves Esports,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_trace_esports_xi_lai_gaming,Trace Esports,Xi Lai Gaming,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_trace_esports_wolves_esports,Wolves Esports,Trace Esports,"brimstone,skye,tejo,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_wolves_esports_xi_lai_gaming,Wolves Esports,Xi Lai Gaming,"brimstone,neon,raze,skye,viper",5,True
china_stage_1,BIND,china_stage_1_bind_all_gamers_xi_lai_gaming,Xi Lai Gaming,All Gamers,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_dragon_ranger_gaming_xi_lai_gaming,Xi Lai Gaming,Dragon Ranger Gaming,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_nova_esports_xi_lai_gaming,Xi Lai Gaming,Nova Esports,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_trace_esports_xi_lai_gaming,Xi Lai Gaming,Trace Esports,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BIND,china_stage_1_bind_wolves_esports_xi_lai_gaming,Xi Lai Gaming,Wolves Esports,"brimstone,neon,skye,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_all_gamers_titan_esports_club,All Gamers,Titan Esports Club,"astra,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_all_gamers_tyloo,All Gamers,TYLOO,"astra,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_bilibili_gaming_titan_esports_club,Bilibili Gaming,Titan Esports Club,"astra,jett,neon,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_bilibili_gaming_tyloo,Bilibili Gaming,TYLOO,"chamber,neon,omen,skye,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_edward_gaming,Dragon Ranger Gaming,EDward Gaming,"astra,neon,omen,skye,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_nova_esports,Dragon Ranger Gaming,Nova Esports,"astra,neon,omen,skye,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_trace_esports,Dragon Ranger Gaming,Trace Esports,"astra,neon,skye,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_tyloo,Dragon Ranger Gaming,TYLOO,"astra,neon,skye,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_wolves_esports,Dragon Ranger Gaming,Wolves Esports,"astra,neon,omen,skye,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_edward_gaming,EDward Gaming,Dragon Ranger Gaming,"harbor,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_edward_gaming_nova_esports,EDward Gaming,Nova Esports,"harbor,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_nova_esports,Nova Esports,Dragon Ranger Gaming,"jett,neon,omen,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_edward_gaming_nova_esports,Nova Esports,EDward Gaming,"jett,neon,omen,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_all_gamers_tyloo,TYLOO,All Gamers,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_bilibili_gaming_tyloo,TYLOO,Bilibili Gaming,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_tyloo,TYLOO,Dragon Ranger Gaming,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_all_gamers_titan_esports_club,Titan Esports Club,All Gamers,"astra,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_bilibili_gaming_titan_esports_club,Titan Esports Club,Bilibili Gaming,"astra,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_titan_esports_club_trace_esports,Titan Esports Club,Trace Esports,"harbor,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_trace_esports,Trace Esports,Dragon Ranger Gaming,"jett,omen,phoenix,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_titan_esports_club_trace_esports,Trace Esports,Titan Esports Club,"jett,omen,phoenix,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_trace_esports_xi_lai_gaming,Trace Esports,Xi Lai Gaming,"jett,omen,phoenix,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_wolves_esports,Wolves Esports,Dragon Ranger Gaming,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_trace_esports_xi_lai_gaming,Xi Lai Gaming,Trace Esports,"chamber,neon,sage,sova,viper",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_funplus_phoenix,Bilibili Gaming,FunPlus Phoenix,"brimstone,cypher,neon,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_jdg_esports,Bilibili Gaming,JDG Esports,"brimstone,cypher,neon,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_titan_esports_club,Bilibili Gaming,Titan Esports Club,"brimstone,cypher,neon,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_jdg_esports,EDward Gaming,JDG Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_nova_esports,EDward Gaming,Nova Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_wolves_esports,EDward Gaming,Wolves Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_funplus_phoenix,FunPlus Phoenix,Bilibili Gaming,"astra,neon,sage,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_funplus_phoenix_titan_esports_club,FunPlus Phoenix,Titan Esports Club,"astra,neon,sage,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_jdg_esports,JDG Esports,Bilibili Gaming,"breach,brimstone,cypher,neon,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_jdg_esports,JDG Esports,EDward Gaming,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_jdg_esports_titan_esports_club,JDG Esports,Titan Esports Club,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_nova_esports,Nova Esports,EDward Gaming,"breach,brimstone,chamber,neon,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_nova_esports_wolves_esports,Nova Esports,Wolves Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_tyloo_titan_esports_club,TYLOO,Titan Esports Club,"brimstone,cypher,neon,phoenix,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_titan_esports_club,Titan Esports Club,Bilibili Gaming,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_funplus_phoenix_titan_esports_club,Titan Esports Club,FunPlus Phoenix,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_jdg_esports_titan_esports_club,Titan Esports Club,JDG Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_titan_esports_club_trace_esports,Titan Esports Club,Trace Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_tyloo_titan_esports_club,Titan Esports Club,TYLOO,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_titan_esports_club_trace_esports,Trace Esports,Titan Esports Club,"breach,brimstone,cypher,neon,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_wolves_esports,Wolves Esports,EDward Gaming,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_nova_esports_wolves_esports,Wolves Esports,Nova Esports,"breach,brimstone,cypher,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_wolves_esports_xi_lai_gaming,Wolves Esports,Xi Lai Gaming,"breach,brimstone,cypher,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_wolves_esports_xi_lai_gaming,Xi Lai Gaming,Wolves Esports,"brimstone,neon,skye,tejo,veto",5,True
china_stage_1,HAVEN,china_stage_1_haven_all_gamers_jdg_esports,All Gamers,JDG Esports,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_all_gamers_tyloo,All Gamers,TYLOO,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_bilibili_gaming_jdg_esports,Bilibili Gaming,JDG Esports,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_dragon_ranger_gaming_nova_esports,Dragon Ranger Gaming,Nova Esports,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_dragon_ranger_gaming_tyloo,Dragon Ranger Gaming,TYLOO,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_jdg_esports,EDward Gaming,JDG Esports,"chamber,fade,neon,omen,phoenix",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_trace_esports,EDward Gaming,Trace Esports,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_xi_lai_gaming,EDward Gaming,Xi Lai Gaming,"chamber,fade,neon,omen,phoenix",5,True
china_stage_1,HAVEN,china_stage_1_haven_all_gamers_jdg_esports,JDG Esports,All Gamers,"chamber,cypher,neon,omen,sova",5,True
