team,maps_covered,total_compositions,avg_map_diversity,opponents_seen,agent_pool_size,signature_pick_rate,avg_agent_pick_rate,synergy_density,experience_score,map_pool_score,flexibility_score,agent_pool_score,identity_score,overall_team_profile_score
FUT Esports,7,11,0.9523809523809523,11,16,1.0,0.3125,1.0,73.96,97.92,89.58,69.79,81.25,81.35
Gen.G,7,10,0.8571428571428571,10,19,0.9,0.2631578947368421,1.0,57.29,97.92,70.83,98.96,51.04,74.84
Eternal Fire,6,10,0.9444444444444443,10,17,0.9,0.29411764705882354,1.0,57.29,70.83,86.46,84.38,51.04,68.85
Trace Esports,6,15,0.6277777777777778,15,17,0.8666666666666667,0.29411764705882354,1.0,92.71,70.83,12.5,84.38,43.75,67.29
JDG Esports,6,14,0.7111111111111111,14,17,0.7857142857142857,0.29411764705882354,1.0,86.46,70.83,29.17,84.38,29.17,65.73
ENVY,7,8,1.0,8,18,0.75,0.2777777777777778,1.0,32.29,97.92,95.83,94.79,19.79,65.57
PCIFIC Esports,6,10,0.9166666666666666,10,17,0.8,0.29411764705882354,1.0,57.29,70.83,80.21,84.38,33.33,65.26
TYLOO,6,15,0.6805555555555555,15,16,0.8,0.3125,1.0,92.71,70.83,18.75,69.79,33.33,63.75
All Gamers,6,16,0.5416666666666666,16,14,0.9375,0.35714285714285715,1.0,98.96,70.83,3.12,47.92,60.42,62.97
Bilibili Gaming,6,13,0.6944444444444443,13,17,0.7692307692307693,0.29411764705882354,1.0,82.29,70.83,20.83,84.38,25.0,62.6
Xi Lai Gaming,6,16,0.5666666666666667,16,12,1.0,0.4166666666666667,1.0,98.96,70.83,8.33,25.0,81.25,62.29
Karmine Corp,5,11,0.8,11,17,0.9090909090909092,0.29411764705882354,1.0,73.96,34.38,50.0,84.38,57.29,62.03
Nongshim RedForce,6,8,0.9166666666666666,8,16,1.0,0.3125,1.0,32.29,70.83,80.21,69.79,81.25,62.03
Dragon Ranger Gaming,6,15,0.7333333333333334,15,10,1.0,0.5,1.0,92.71,70.83,35.42,9.38,81.25,61.36
Titan Esports Club,6,14,0.7000000000000001,14,11,1.0,0.45454545454545453,1.0,86.46,70.83,25.0,16.67,81.25,59.38
Nova Esports,6,10,0.75,10,16,0.9,0.3125,1.0,57.29,70.83,40.62,69.79,51.04,59.06
Wolves Esports,5,12,0.8133333333333332,12,17,0.75,0.29411764705882354,1.0,79.17,34.38,54.17,84.38,19.79,58.6
VARREL,6,9,0.9166666666666666,9,19,0.5555555555555556,0.2631578947368421,1.0,40.62,70.83,80.21,98.96,2.08,58.49
EDward Gaming,6,15,0.5416666666666666,15,16,0.6,0.3125,1.0,92.71,70.83,3.12,69.79,4.17,57.03
Global Esports,6,8,0.9444444444444443,8,18,0.625,0.2777777777777778,1.0,32.29,70.83,86.46,94.79,6.25,56.72
Natus Vincere,5,11,0.8666666666666666,11,13,0.9090909090909092,0.38461538461538464,1.0,73.96,34.38,72.92,36.46,57.29,55.89
Team Vitality,6,9,0.8333333333333334,9,15,0.8888888888888888,0.3333333333333333,1.0,40.62,70.83,64.58,58.33,45.83,54.58
GIANTX,6,11,0.7083333333333334,11,13,0.8181818181818182,0.38461538461538464,1.0,73.96,70.83,27.08,36.46,37.5,53.33
ZETA DIVISION,6,8,0.8333333333333334,8,13,1.0,0.38461538461538464,1.0,32.29,70.83,64.58,36.46,81.25,53.02
LEVIATÁN,6,7,0.9166666666666666,7,13,1.0,0.3846153846153845,1.0,23.96,70.83,80.21,36.46,81.25,52.86
Team Liquid,6,9,0.75,9,13,1.0,0.38461538461538464,1.0,40.62,70.83,40.62,36.46,81.25,51.92
FNATIC,5,10,0.7333333333333333,10,16,0.9,0.3125,1.0,57.29,34.38,33.33,69.79,51.04,50.68
Rex Regum Qeon,5,10,0.6,10,15,1.0,0.3333333333333333,1.0,57.29,34.38,10.42,58.33,81.25,49.48
Paper Rex,6,10,0.7222222222222222,10,15,0.7,0.3333333333333333,1.0,57.29,70.83,31.25,58.33,10.42,49.27
Gentle Mates,5,10,0.6666666666666666,10,14,1.0,0.35714285714285715,1.0,57.29,34.38,16.67,47.92,81.25,48.34
Team Heretics,5,10,0.6333333333333333,10,14,1.0,0.35714285714285715,1.0,57.29,34.38,14.58,47.92,81.25,48.02
FunPlus Phoenix,5,13,0.55,13,11,1.0,0.45454545454545453,1.0,82.29,34.38,6.25,16.67,81.25,48.02
G2 Esports,6,7,1.0,7,12,0.8571428571428571,0.4166666666666667,1.0,23.96,70.83,95.83,25.0,41.67,46.98
DetonatioN FocusMe,5,10,0.7,10,17,0.7,0.29411764705882354,1.0,57.29,34.38,22.92,84.38,10.42,45.94
Kiwoom DRX,4,10,0.7916666666666666,10,15,0.8,0.3333333333333333,1.0,57.29,15.62,45.83,58.33,33.33,43.85
Team Secret,5,6,1.0,6,15,0.8333333333333334,0.33333333333333326,1.0,16.67,34.38,95.83,58.33,39.58,43.85
BBL Esports,5,10,0.8,10,14,0.7,0.35714285714285715,1.0,57.29,34.38,50.0,47.92,10.42,42.71
FULL SENSE,6,9,0.75,9,12,0.7777777777777778,0.4166666666666667,1.0,40.62,70.83,40.62,25.0,27.08,41.51
Sentinels,4,4,1.0,4,12,1.0,0.4166666666666667,1.0,5.21,15.62,95.83,25.0,81.25,36.25
LOUD,5,7,0.8,7,14,0.7142857142857143,0.3571428571428571,1.0,23.96,34.38,50.0,47.92,14.58,33.34
Evil Geniuses,4,5,0.875,5,11,1.0,0.45454545454545453,1.0,11.46,15.62,75.0,16.67,81.25,33.33
T1,4,6,0.8333333333333333,6,10,1.0,0.5,1.0,16.67,15.62,57.29,9.38,81.25,30.78
FURIA,4,7,0.75,7,10,1.0,0.5,1.0,23.96,15.62,40.62,9.38,81.25,30.47
KRÜ Esports,4,6,0.8333333333333333,6,9,1.0,0.5555555555555556,1.0,16.67,15.62,57.29,4.17,81.25,29.74
Cloud9,3,5,0.8333333333333334,5,10,1.0,0.5,1.0,11.46,5.21,64.58,9.38,81.25,28.23
NRG,3,4,1.0,4,13,0.75,0.38461538461538464,1.0,5.21,5.21,95.83,36.46,19.79,27.24
MIBR,3,4,0.8333333333333334,4,8,1.0,0.625,1.0,5.21,5.21,64.58,2.08,81.25,24.9
100 Thieves,3,4,0.8333333333333334,4,12,0.75,0.4166666666666667,1.0,5.21,5.21,64.58,25.0,19.79,20.26
