event,map,maps_played,atk_win_rate,def_win_rate,agent,pick_rate
china_stage_1,Bind,14,0.51,0.49,sova,0.0
china_stage_1,Bind,14,0.51,0.49,astra,0.04
china_stage_1,Bind,14,0.51,0.49,killjoy,0.0
china_stage_1,Bind,14,0.51,0.49,phoenix,0.0
china_stage_1,Bind,14,0.51,0.49,tejo,0.04
china_stage_1,Bind,14,0.51,0.49,raze,0.07
china_stage_1,Bind,14,0.51,0.49,jett,0.0
china_stage_1,Bind,14,0.51,0.49,chamber,0.04
china_stage_1,Bind,14,0.51,0.49,kayo,0.07
china_stage_1,Bind,14,0.51,0.49,breach,0.0
china_stage_1,Bind,14,0.51,0.49,vyse,0.0
china_stage_1,Bind,14,0.51,0.49,veto,0.0
china_stage_1,Bind,14,0.51,0.49,harbor,0.0
china_stage_1,Bind,14,0.51,0.49,sage,0.0
china_stage_1,Bind,14,0.51,0.49,miks,0.04
china_stage_1,Bind,14,0.51,0.49,gekko,0.07
china_stage_1,Bind,14,0.51,0.49,reyna,0.0
china_stage_1,Bind,14,0.51,0.49,iso,0.0
china_stage_1,Bind,14,0.51,0.49,deadlock,0.0
china_stage_1,Bind,14,0.51,0.49,clove,0.0
china_stage_1,Bind,14,0.51,0.49,yoru,0.0
china_stage_1,Breeze,12,0.48,0.52,neon,0.63
china_stage_1,Breeze,12,0.48,0.52,waylay,0.42
china_stage_1,Breeze,12,0.48,0.52,viper,0.88
china_stage_1,Breeze,12,0.48,0.52,omen,0.38
china_stage_1,Breeze,12,0.48,0.52,skye,0.25
china_stage_1,Breeze,12,0.48,0.52,brimstone,0.0
china_stage_1,Breeze,12,0.48,0.52,cypher,0.0
china_stage_1,Breeze,12,0.48,0.52,fade,0.0
china_stage_1,Breeze,12,0.48,0.52,sova,0.75
china_stage_1,Breeze,12,0.48,0.52,astra,0.58
china_stage_1,Breeze,12,0.48,0.52,killjoy,0.0
china_stage_1,Breeze,12,0.48,0.52,phoenix,0.13
china_stage_1,Breeze,12,0.48,0.52,tejo,0.0
china_stage_1,Breeze,12,0.48,0.52,raze,0.0
china_stage_1,Breeze,12,0.48,0.52,jett,0.5
china_stage_1,Breeze,12,0.48,0.52,chamber,0.08
china_stage_1,Breeze,12,0.48,0.52,kayo,0.25
china_stage_1,Breeze,12,0.48,0.52,breach,0.0
china_stage_1,Breeze,12,0.48,0.52,vyse,0.0
china_stage_1,Breeze,12,0.48,0.52,veto,0.0
china_stage_1,Breeze,12,0.48,0.52,harbor,0.13
china_stage_1,Breeze,12,0.48,0.52,sage,0.04
china_stage_1,Breeze,12,0.48,0.52,miks,0.0
china_stage_1,Breeze,12,0.48,0.52,gekko,0.0
china_stage_1,Breeze,12,0.48,0.52,reyna,0.0
china_stage_1,Breeze,12,0.48,0.52,iso,0.0
china_stage_1,Breeze,12,0.48,0.52,deadlock,0.0
china_stage_1,Breeze,12,0.48,0.52,clove,0.0
china_stage_1,Breeze,12,0.48,0.52,yoru,0.0
china_stage_1,Fracture,12,0.47,0.53,neon,0.92
china_stage_1,Fracture,12,0.47,0.53,waylay,0.79
china_stage_1,Fracture,12,0.47,0.53,viper,0.0
china_stage_1,Fracture,12,0.47,0.53,omen,0.0
china_stage_1,Fracture,12,0.47,0.53,skye,0.54
china_stage_1,Fracture,12,0.47,0.53,brimstone,0.92
china_stage_1,Fracture,12,0.47,0.53,cypher,0.83
china_stage_1,Fracture,12,0.47,0.53,fade,0.0
china_stage_1,Fracture,12,0.47,0.53,sova,0.0
china_stage_1,Fracture,12,0.47,0.53,astra,0.08
china_stage_1,Fracture,12,0.47,0.53,killjoy,0.0
china_stage_1,Fracture,12,0.47,0.53,phoenix,0.04
china_stage_1,Fracture,12,0.47,0.53,tejo,0.5
china_stage_1,Fracture,12,0.47,0.53,raze,0.0
china_stage_1,Fracture,12,0.47,0.53,jett,0.0
china_stage_1,Fracture,12,0.47,0.53,chamber,0.04
china_stage_1,Fracture,12,0.47,0.53,kayo,0.0
china_stage_1,Fracture,12,0.47,0.53,breach,0.21
china_stage_1,Fracture,12,0.47,0.53,vyse,0.0
china_stage_1,Fracture,12,0.47,0.53,veto,0.04
china_stage_1,Fracture,12,0.47,0.53,harbor,0.0
china_stage_1,Fracture,12,0.47,0.53,sage,0.08
china_stage_1,Fracture,12,0.47,0.53,miks,0.0
china_stage_1,Fracture,12,0.47,0.53,gekko,0.0
china_stage_1,Fracture,12,0.47,0.53,reyna,0.0
china_stage_1,Fracture,12,0.47,0.53,iso,0.0
china_stage_1,Fracture,12,0.47,0.53,deadlock,0.0
china_stage_1,Fracture,12,0.47,0.53,clove,0.0
china_stage_1,Fracture,12,0.47,0.53,yoru,0.0
china_stage_1,Haven,11,0.55,0.45,neon,1.0
china_stage_1,Haven,11,0.55,0.45,waylay,0.5
china_stage_1,Haven,11,0.55,0.45,viper,0.36
china_stage_1,Haven,11,0.55,0.45,omen,1.0
china_stage_1,Haven,11,0.55,0.45,skye,0.18
china_stage_1,Haven,11,0.55,0.45,brimstone,0.0
china_stage_1,Haven,11,0.55,0.45,cypher,0.59
china_stage_1,Haven,11,0.55,0.45,fade,0.09
china_stage_1,Haven,11,0.55,0.45,sova,0.73
china_stage_1,Haven,11,0.55,0.45,astra,0.0
china_stage_1,Haven,11,0.55,0.45,killjoy,0.32
china_stage_1,Haven,11,0.55,0.45,phoenix,0.09
china_stage_1,Haven,11,0.55,0.45,tejo,0.0
china_stage_1,Haven,11,0.55,0.45,raze,0.0
china_stage_1,Haven,11,0.55,0.45,jett,0.0
china_stage_1,Haven,11,0.55,0.45,chamber,0.14
china_stage_1,Haven,11,0.55,0.45,kayo,0.0
china_stage_1,Haven,11,0.55,0.45,breach,0.0
china_stage_1,Haven,11,0.55,0.45,vyse,0.0
china_stage_1,Haven,11,0.55,0.45,veto,0.0
china_stage_1,Haven,11,0.55,0.45,harbor,0.0
china_stage_1,Haven,11,0.55,0.45,sage,0.0
china_stage_1,Haven,11,0.55,0.45,miks,0.0
china_stage_1,Haven,11,0.55,0.45,gekko,0.0
china_stage_1,Haven,11,0.55,0.45,reyna,0.0
china_stage_1,Haven,11,0.55,0.45,iso,0.0
china_stage_1,Haven,11,0.55,0.45,deadlock,0.0
china_stage_1,Haven,11,0.55,0.45,clove,0.0
china_stage_1,Haven,11,0.55,0.45,yoru,0.0
china_stage_1,Split,10,0.5,0.5,neon,0.9
china_stage_1,Split,10,0.5,0.5,waylay,0.9
china_stage_1,Split,10,0.5,0.5,viper,0.95
china_stage_1,Split,10,0.5,0.5,omen,1.0
china_stage_1,Split,10,0.5,0.5,skye,0.75
china_stage_1,Split,10,0.5,0.5,brimstone,0.0
china_stage_1,Split,10,0.5,0.5,cypher,0.05
china_stage_1,Split,10,0.5,0.5,fade,0.25
china_stage_1,Split,10,0.5,0.5,sova,0.0
china_stage_1,Split,10,0.5,0.5,astra,0.0
china_stage_1,Split,10,0.5,0.5,killjoy,0.0
china_stage_1,Split,10,0.5,0.5,phoenix,0.0
china_stage_1,Split,10,0.5,0.5,tejo,0.0
china_stage_1,Split,10,0.5,0.5,raze,0.1
china_stage_1,Split,10,0.5,0.5,jett,0.0
china_stage_1,Split,10,0.5,0.5,chamber,0.0
china_stage_1,Split,10,0.5,0.5,kayo,0.0
china_stage_1,Split,10,0.5,0.5,breach,0.0
china_stage_1,Split,10,0.5,0.5,vyse,0.1
china_stage_1,Split,10,0.5,0.5,veto,0.0
china_stage_1,Split,10,0.5,0.5,harbor,0.0
china_stage_1,Split,10,0.5,0.5,sage,0.0
china_stage_1,Split,10,0.5,0.5,miks,0.0
china_stage_1,Split,10,0.5,0.5,gekko,0.0
china_stage_1,Split,10,0.5,0.5,reyna,0.0
china_stage_1,Split,10,0.5,0.5,iso,0.0
china_stage_1,Split,10,0.5,0.5,deadlock,0.0
china_stage_1,Split,10,0.5,0.5,clove,0.0
china_stage_1,Split,10,0.5,0.5,yoru,0.0
china_stage_1,Pearl,7,0.53,0.47,neon,0.93
china_stage_1,Pearl,7,0.53,0.47,waylay,0.5
china_stage_1,Pearl,7,0.53,0.47,viper,0.0
china_stage_1,Pearl,7,0.53,0.47,omen,0.0
china_stage_1,Pearl,7,0.53,0.47,skye,0.07
china_stage_1,Pearl,7,0.53,0.47,brimstone,0.0
china_stage_1,Pearl,7,0.53,0.47,cypher,0.0
china_stage_1,Pearl,7,0.53,0.47,fade,0.64
china_stage_1,Pearl,7,0.53,0.47,sova,0.07
china_stage_1,Pearl,7,0.53,0.47,astra,1.0
china_stage_1,Pearl,7,0.53,0.47,killjoy,0.79
china_stage_1,Pearl,7,0.53,0.47,phoenix,0.5
china_stage_1,Pearl,7,0.53,0.47,tejo,0.29
china_stage_1,Pearl,7,0.53,0.47,raze,0.0
china_stage_1,Pearl,7,0.53,0.47,jett,0.0
china_stage_1,Pearl,7,0.53,0.47,chamber,0.14
china_stage_1,Pearl,7,0.53,0.47,kayo,0.0
china_stage_1,Pearl,7,0.53,0.47,breach,0.0
china_stage_1,Pearl,7,0.53,0.47,vyse,0.07
china_stage_1,Pearl,7,0.53,0.47,veto,0.0
china_stage_1,Pearl,7,0.53,0.47,harbor,0.0
china_stage_1,Pearl,7,0.53,0.47,sage,0.0
china_stage_1,Pearl,7,0.53,0.47,miks,0.0
china_stage_1,Pearl,7,0.53,0.47,gekko,0.0
china_stage_1,Pearl,7,0.53,0.47,reyna,0.0
china_stage_1,Pearl,7,0.53,0.47,iso,0.0
china_stage_1,Pearl,7,0.53,0.47,deadlock,0.0
china_stage_1,Pearl,7,0.53,0.47,clove,0.0
china_stage_1,Pearl,7,0.53,0.47,yoru,0.0
pacific_stage_1,All Maps,52,0.51,0.49,neon,0.78
pacific_stage_1,All Maps,52,0.51,0.49,omen,0.47
pacific_stage_1,All Maps,52,0.51,0.49,skye,0.36
pacific_stage_1,All Maps,52,0.51,0.49,fade,0.35
pacific_stage_1,All Maps,52,0.51,0.49,viper,0.33
pacific_stage_1,All Maps,52,0.51,0.49,waylay,0.3
pacific_stage_1,All Maps,52,0.51,0.49,astra,0.26
pacific_stage_1,All Maps,52,0.51,0.49,cypher,0.26
pacific_stage_1,All Maps,52,0.51,0.49,brimstone,0.26
pacific_stage_1,All Maps,52,0.51,0.49,raze,0.22
pacific_stage_1,All Maps,52,0.51,0.49,chamber,0.21
pacific_stage_1,All Maps,52,0.51,0.49,sova,0.16
pacific_stage_1,All Maps,52,0.51,0.49,phoenix,0.16
pacific_stage_1,All Maps,52,0.51,0.49,breach,0.14
pacific_stage_1,All Maps,52,0.51,0.49,killjoy,0.13
pacific_stage_1,All Maps,52,0.51,0.49,jett,0.13
pacific_stage_1,All Maps,52,0.51,0.49,tejo,0.12
pacific_stage_1,All Maps,52,0.51,0.49,vyse,0.11
pacific_stage_1,All Maps,52,0.51,0.49,deadlock,0.09
pacific_stage_1,All Maps,52,0.51,0.49,kayo,0.06
pacific_stage_1,All Maps,52,0.51,0.49,veto,0.06
pacific_stage_1,All Maps,52,0.51,0.49,harbor,0.02
pacific_stage_1,All Maps,52,0.51,0.49,yoru,0.01
pacific_stage_1,All Maps,52,0.51,0.49,iso,0.01
pacific_stage_1,All Maps,52,0.51,0.49,gekko,0.01
pacific_stage_1,All Maps,52,0.51,0.49,sage,0.0
pacific_stage_1,All Maps,52,0.51,0.49,reyna,0.0
pacific_stage_1,All Maps,52,0.51,0.49,clove,0.0
pacific_stage_1,All Maps,52,0.51,0.49,miks,0.0
pacific_stage_1,Pearl,10,0.5,0.5,neon,0.75
pacific_stage_1,Pearl,10,0.5,0.5,omen,0.0
pacific_stage_1,Pearl,10,0.5,0.5,skye,0.25
pacific_stage_1,Pearl,10,0.5,0.5,fade,0.5
pacific_stage_1,Pearl,10,0.5,0.5,viper,0.0
pacific_stage_1,Pearl,10,0.5,0.5,waylay,0.2
pacific_stage_1,Pearl,10,0.5,0.5,astra,1.0
pacific_stage_1,Pearl,10,0.5,0.5,cypher,0.15
pacific_stage_1,Pearl,10,0.5,0.5,brimstone,0.0
pacific_stage_1,Pearl,10,0.5,0.5,raze,0.0
pacific_stage_1,Pearl,10,0.5,0.5,chamber,0.55
pacific_stage_1,Pearl,10,0.5,0.5,sova,0.25
pacific_stage_1,Pearl,10,0.5,0.5,phoenix,0.4
pacific_stage_1,Pearl,10,0.5,0.5,breach,0.0
pacific_stage_1,Pearl,10,0.5,0.5,killjoy,0.45
pacific_stage_1,Pearl,10,0.5,0.5,jett,0.1
pacific_stage_1,Pearl,10,0.5,0.5,tejo,0.2
pacific_stage_1,Pearl,10,0.5,0.5,vyse,0.05
pacific_stage_1,Pearl,10,0.5,0.5,deadlock,0.0
pacific_stage_1,Pearl,10,0.5,0.5,kayo,0.15
pacific_stage_1,Pearl,10,0.5,0.5,veto,0.0
pacific_stage_1,Pearl,10,0.5,0.5,harbor,0.0
pacific_stage_1,Pearl,10,0.5,0.5,yoru,0.0
pacific_stage_1,Pearl,10,0.5,0.5,iso,0.0
pacific_stage_1,Pearl,10,0.5,0.5,gekko,0.0
pacific_stage_1,Pearl,10,0.5,0.5,sage,0.0
pacific_stage_1,Pearl,10,0.5,0.5,reyna,0.0
pacific_stage_1,Pearl,10,0.5,0.5,clove,0.0
pacific_stage_1,Pearl,10,0.5,0.5,miks,0.0
pacific_stage_1,Haven,9,0.49,0.51,neon,0.78
pacific_stage_1,Haven,9,0.49,0.51,omen,0.89
pacific_stage_1,Haven,9,0.49,0.51,skye,0.44
pacific_stage_1,Haven,9,0.49,0.51,fade,0.11
pacific_stage_1,Haven,9,0.49,0.51,viper,0.06
pacific_stage_1,Haven,9,0.49,0.51,waylay,0.28
pacific_stage_1,Haven,9,0.49,0.51,astra,0.11
pacific_stage_1,Haven,9,0.49,0.51,cypher,0.5
pacific_stage_1,Haven,9,0.49,0.51,brimstone,0.0
pacific_stage_1,Haven,9,0.49,0.51,raze,0.0
pacific_stage_1,Haven,9,0.49,0.51,chamber,0.39
pacific_stage_1,Haven,9,0.49,0.51,sova,0.44
pacific_stage_1,Haven,9,0.49,0.51,phoenix,0.39
pacific_stage_1,Haven,9,0.49,0.51,breach,0.06
pacific_stage_1,Haven,9,0.49,0.51,killjoy,0.11
pacific_stage_1,Haven,9,0.49,0.51,jett,0.22
pacific_stage_1,Haven,9,0.49,0.51,tejo,0.0
pacific_stage_1,Haven,9,0.49,0.51,vyse,0.0
pacific_stage_1,Haven,9,0.49,0.51,deadlock,0.22
pacific_stage_1,Haven,9,0.49,0.51,kayo,0.0
pacific_stage_1,Haven,9,0.49,0.51,veto,0.0
pacific_stage_1,Haven,9,0.49,0.51,harbor,0.0
pacific_stage_1,Haven,9,0.49,0.51,yoru,0.0
pacific_stage_1,Haven,9,0.49,0.51,iso,0.0
pacific_stage_1,Haven,9,0.49,0.51,gekko,0.0
pacific_stage_1,Haven,9,0.49,0.51,sage,0.0
pacific_stage_1,Haven,9,0.49,0.51,reyna,0.0
pacific_stage_1,Haven,9,0.49,0.51,clove,0.0
pacific_stage_1,Haven,9,0.49,0.51,miks,0.0
pacific_stage_1,Fracture,9,0.6,0.4,neon,0.83
pacific_stage_1,Fracture,9,0.6,0.4,omen,0.0
pacific_stage_1,Fracture,9,0.6,0.4,skye,0.28
pacific_stage_1,Fracture,9,0.6,0.4,fade,0.0
pacific_stage_1,Fracture,9,0.6,0.4,viper,0.0
pacific_stage_1,Fracture,9,0.6,0.4,waylay,0.39
pacific_stage_1,Fracture,9,0.6,0.4,astra,0.0
pacific_stage_1,Fracture,9,0.6,0.4,cypher,0.61
pacific_stage_1,Fracture,9,0.6,0.4,brimstone,1.0
pacific_stage_1,Fracture,9,0.6,0.4,raze,0.39
pacific_stage_1,Fracture,9,0.6,0.4,chamber,0.0
pacific_stage_1,Fracture,9,0.6,0.4,sova,0.0
pacific_stage_1,Fracture,9,0.6,0.4,phoenix,0.0
pacific_stage_1,Fracture,9,0.6,0.4,breach,0.72
pacific_stage_1,Fracture,9,0.6,0.4,killjoy,0.11
pacific_stage_1,Fracture,9,0.6,0.4,jett,0.0
pacific_stage_1,Fracture,9,0.6,0.4,tejo,0.39
pacific_stage_1,Fracture,9,0.6,0.4,vyse,0.0
pacific_stage_1,Fracture,9,0.6,0.4,deadlock,0.06
pacific_stage_1,Fracture,9,0.6,0.4,kayo,0.0
pacific_stage_1,Fracture,9,0.6,0.4,veto,0.22
pacific_stage_1,Fracture,9,0.6,0.4,harbor,0.0
pacific_stage_1,Fracture,9,0.6,0.4,yoru,0.0
pacific_stage_1,Fracture,9,0.6,0.4,iso,0.0
pacific_stage_1,Fracture,9,0.6,0.4,gekko,0.0
pacific_stage_1,Fracture,9,0.6,0.4,sage,0.0
pacific_stage_1,Fracture,9,0.6,0.4,reyna,0.0
pacific_stage_1,Fracture,9,0.6,0.4,clove,0.0
pacific_stage_1,Fracture,9,0.6,0.4,miks,0.0
pacific_stage_1,Lotus,9,0.51,0.49,neon,0.94
pacific_stage_1,Lotus,9,0.51,0.49,omen,1.0
pacific_stage_1,Lotus,9,0.51,0.49,skye,0.0
pacific_stage_1,Lotus,9,0.51,0.49,fade,1.0
pacific_stage_1,Lotus,9,0.51,0.49,viper,0.39
pacific_stage_1,Lotus,9,0.51,0.49,waylay,0.11
pacific_stage_1,Lotus,9,0.51,0.49,astra,0.06
pacific_stage_1,Lotus,9,0.51,0.49,cypher,0.0
pacific_stage_1,Lotus,9,0.51,0.49,brimstone,0.0
pacific_stage_1,Lotus,9,0.51,0.49,raze,0.61
pacific_stage_1,Lotus,9,0.51,0.49,chamber,0.11
pacific_stage_1,Lotus,9,0.51,0.49,sova,0.0
pacific_stage_1,Lotus,9,0.51,0.49,phoenix,0.06
pacific_stage_1,Lotus,9,0.51,0.49,breach,0.06
pacific_stage_1,Lotus,9,0.51,0.49,killjoy,0.06
pacific_stage_1,Lotus,9,0.51,0.49,jett,0.0
pacific_stage_1,Lotus,9,0.51,0.49,tejo,0.0
pacific_stage_1,Lotus,9,0.51,0.49,vyse,0.5
pacific_stage_1,Lotus,9,0.51,0.49,deadlock,0.06
pacific_stage_1,Lotus,9,0.51,0.49,kayo,0.0
pacific_stage_1,Lotus,9,0.51,0.49,veto,0.0
pacific_stage_1,Lotus,9,0.51,0.49,harbor,0.0
pacific_stage_1,Lotus,9,0.51,0.49,yoru,0.0
pacific_stage_1,Lotus,9,0.51,0.49,iso,0.06
pacific_stage_1,Lotus,9,0.51,0.49,gekko,0.0
pacific_stage_1,Lotus,9,0.51,0.49,sage,0.0
pacific_stage_1,Lotus,9,0.51,0.49,reyna,0.0
pacific_stage_1,Lotus,9,0.51,0.49,clove,0.0
